result | reference pattern | recorded pattern | recorded pattern spike count
1|[2,1,2,6,4,0,3,4,0,1,]|[2,1,2,6,4,0,3,4,0,1,]|[55,50,47,48,49,53,42,42,54,37,]
1|[5,8,9,8,2,8,9,4,9,2,]|[5,8,9,8,2,8,9,4,9,2,]|[40,44,31,45,47,38,45,51,56,31,]
0|[9,4,9,7,6,0,8,7,4,0,]|[9,4,9,7,6,0,8,7,4,2,]|[39,47,45,51,39,49,52,45,43,50,]
1|[8,5,3,9,0,1,8,8,8,2,]|[8,5,3,9,0,1,8,8,8,2,]|[54,54,45,42,51,57,67,36,39,45,]
1|[8,2,9,8,5,7,5,7,7,4,]|[8,2,9,8,5,7,5,7,7,4,]|[45,45,46,41,45,46,54,45,46,41,]
1|[3,0,8,2,7,8,3,7,4,2,]|[3,0,8,2,7,8,3,7,4,2,]|[50,56,44,42,51,57,38,43,53,50,]
1|[6,0,4,3,0,8,2,5,7,3,]|[6,0,4,3,0,8,2,5,7,3,]|[47,44,54,45,48,56,47,46,39,41,]
1|[3,4,6,8,9,3,8,6,1,8,]|[3,4,6,8,9,3,8,6,1,8,]|[38,37,46,52,44,53,50,50,39,28,]
1|[3,0,9,8,0,3,0,8,3,9,]|[3,0,9,8,0,3,0,8,3,9,]|[49,44,42,36,50,44,56,45,43,21,]
1|[1,6,1,8,9,8,1,3,2,6,]|[1,6,1,8,9,8,1,3,2,6,]|[49,45,44,47,42,49,43,49,50,28,]
1|[6,6,9,3,1,6,5,1,2,4,]|[6,6,9,3,1,6,5,1,2,4,]|[46,53,56,49,55,45,48,50,69,37,]
1|[4,2,3,0,0,3,8,0,7,5,]|[4,2,3,0,0,3,8,0,7,5,]|[49,45,47,41,52,55,54,56,43,40,]
1|[4,4,0,4,8,3,9,8,0,0,]|[4,4,0,4,8,3,9,8,0,0,]|[45,55,42,48,40,52,34,51,46,40,]
correct pattern: 81/100(81%)
