result | reference pattern | recorded pattern | recorded pattern spike count
0|[5,0,0,2,3,3,3,4,3,4,]|[5,0,0,2,3,3,3,4,3,0,]|[44,52,42,47,44,51,47,47,49,18,]
0|[1,4,2,6,0,1,0,0,5,7,]|[1,4,2,6,0,1,0,0,5,9,]|[37,37,37,40,42,35,45,55,37,21,]
0|[9,6,8,3,9,0,0,7,4,2,]|[9,6,8,3,9,0,0,7,4,9,]|[45,52,52,45,40,42,50,55,43,18,]
0|[2,2,8,3,1,2,7,9,9,7,]|[2,2,8,3,1,2,7,9,9,5,]|[52,57,51,48,53,52,46,52,37,17,]
0|[9,0,2,4,4,1,9,1,3,8,]|[9,0,2,4,4,1,9,1,3,0,]|[44,44,34,37,42,47,43,51,46,9,]
0|[5,8,0,6,4,3,7,4,5,4,]|[5,8,0,6,4,3,7,4,5,0,]|[35,45,43,39,40,35,39,52,43,24,]
0|[3,6,0,3,6,3,0,7,8,5,]|[3,6,0,3,6,3,0,7,8,1,]|[36,59,45,35,53,63,40,41,46,15,]
0|[7,9,6,5,8,0,1,8,2,6,]|[7,9,6,5,8,0,1,8,2,9,]|[47,35,38,47,35,39,42,41,40,14,]
0|[0,7,1,1,1,8,8,9,3,3,]|[0,7,1,1,1,8,8,9,3,5,]|[45,35,21,40,36,38,42,48,35,12,]
1|[2,6,8,5,9,2,3,0,4,5,]|[2,6,8,5,9,2,3,0,4,5,]|[53,47,36,45,42,46,35,49,44,15,]
0|[2,7,0,7,3,1,4,4,6,7,]|[2,7,0,7,3,1,4,4,6,0,]|[52,40,43,34,43,43,48,54,29,18,]
0|[6,7,7,4,5,7,8,9,5,9,]|[6,7,7,4,5,7,8,9,5,0,]|[46,49,54,41,41,46,40,31,47,14,]
0|[1,1,3,7,3,6,0,2,1,4,]|[1,1,3,7,3,6,0,2,1,8,]|[46,55,46,41,47,43,47,38,53,11,]
0|[3,7,8,4,2,8,4,5,3,0,]|[3,7,8,4,2,8,4,5,3,8,]|[42,42,40,39,50,47,37,46,42,18,]
0|[7,7,8,6,8,6,1,5,8,7,]|[7,7,8,6,8,6,1,5,8,5,]|[46,37,53,39,53,45,34,52,55,13,]
0|[5,0,7,4,6,8,1,4,0,2,]|[5,0,7,4,6,8,1,4,0,0,]|[54,43,51,46,40,37,46,40,44,19,]
0|[8,2,3,6,9,9,8,1,4,6,]|[8,2,3,6,9,9,8,1,4,4,]|[46,32,36,30,41,42,41,44,46,9,]
0|[7,1,6,4,7,2,4,8,8,5,]|[7,1,6,4,7,2,4,8,8,9,]|[42,41,50,54,39,46,43,43,44,11,]
0|[4,7,0,5,8,6,9,3,8,6,]|[4,7,0,5,8,6,9,3,8,4,]|[37,37,50,37,44,36,49,53,45,13,]
0|[7,3,5,4,2,4,4,8,0,1,]|[7,3,5,4,2,4,4,8,0,4,]|[48,51,41,46,60,48,38,48,48,19,]
0|[1,4,3,3,9,5,2,7,3,8,]|[1,4,3,3,9,5,2,7,3,9,]|[49,45,49,38,42,37,47,43,41,13,]
0|[1,6,5,6,4,4,2,2,7,4,]|[1,6,5,6,4,4,2,2,7,1,]|[54,47,40,37,37,48,50,45,46,16,]
0|[7,0,8,6,8,2,2,8,2,2,]|[7,0,8,6,8,2,2,8,2,1,]|[49,42,45,52,45,49,48,44,44,13,]
0|[4,2,1,0,9,6,1,5,4,3,]|[4,2,1,0,9,6,1,5,4,1,]|[40,44,36,31,54,35,39,29,46,13,]
0|[0,2,0,5,0,2,7,0,5,2,]|[0,2,0,5,0,2,7,0,5,9,]|[38,42,42,35,37,47,53,44,35,12,]
0|[2,6,1,6,6,4,2,5,3,5,]|[2,6,1,6,6,4,2,5,3,1,]|[36,44,36,35,47,37,44,41,43,10,]
0|[0,1,7,2,6,1,8,0,9,5,]|[0,1,7,2,6,1,8,0,9,0,]|[42,47,47,34,38,36,36,48,47,16,]
0|[0,4,2,7,6,5,1,5,7,2,]|[0,4,2,7,6,5,1,5,7,0,]|[50,46,45,32,46,45,44,38,44,17,]
0|[2,1,2,6,4,0,3,4,0,1,]|[2,1,2,6,4,0,3,4,0,5,]|[38,35,46,45,49,35,53,48,54,15,]
0|[5,8,9,8,2,8,9,4,9,2,]|[5,8,9,8,2,8,9,4,9,0,]|[56,42,41,43,46,53,44,69,33,9,]
1|[9,4,9,7,6,0,8,7,4,0,]|[9,4,9,7,6,0,8,7,4,0,]|[38,47,47,43,40,45,37,54,51,10,]
0|[8,5,3,9,0,1,8,8,8,2,]|[8,5,3,9,0,1,8,8,8,5,]|[48,50,49,42,44,45,46,49,29,13,]
0|[8,2,9,8,5,7,5,7,7,4,]|[8,2,9,8,5,7,5,7,7,9,]|[46,49,40,43,28,55,41,43,42,10,]
0|[3,0,8,2,7,8,3,7,4,2,]|[3,0,8,2,7,8,3,7,4,8,]|[51,44,31,42,60,44,43,40,48,8,]
0|[6,0,4,3,0,8,2,5,7,3,]|[6,0,4,3,0,8,2,5,7,5,]|[48,46,42,44,43,49,41,54,43,15,]
0|[3,4,6,8,9,3,8,6,1,8,]|[3,4,6,8,9,3,8,6,1,1,]|[52,40,46,34,49,50,40,60,29,14,]
0|[3,0,9,8,0,3,0,8,3,9,]|[3,0,9,8,0,3,0,8,3,5,]|[45,42,38,54,46,36,47,42,38,10,]
0|[1,6,1,8,9,8,1,3,2,6,]|[1,6,1,8,9,8,1,3,2,9,]|[49,46,48,53,51,59,53,40,43,21,]
0|[6,6,9,3,1,6,5,1,2,4,]|[6,6,9,3,1,6,5,1,2,9,]|[31,55,43,44,41,51,39,45,48,12,]
0|[4,2,3,0,0,3,8,0,7,5,]|[4,2,3,0,0,3,8,0,7,1,]|[41,41,39,48,46,39,39,52,43,13,]
0|[4,4,0,4,8,3,9,8,0,0,]|[4,4,0,4,8,3,9,8,0,1,]|[42,41,31,47,39,43,50,40,44,10,]
correct pattern: 10/100(10%)
